,name,frequence
0,Abel,2
1,Abeline,1
2,Abelle,1
3,Abigail,1
4,Abigaille,1
5,Aby,1
6,Abygail,1
7,Abygaille,1
8,Achille,1
9,Ada,1
10,Adama,1
11,Adélaïde,2
12,Adèle,3
13,Adélie,1
14,Adelin,1
15,Adeline,5
16,Adelphine,1
17,Adelyne,1
18,Adhémar,1
19,Adolphe,1
20,Adolphine,1
21,Adrien,5
22,Adrienne,3
23,Agathe,3
24,Aglaé,1
25,Aglaée,1
26,Agnès,6
27,Aïda,1
28,Aimable,1
29,Aimé,4
30,Aimée,3
31,Aimeric,1
32,Aimery,1
33,Aimie,1
34,Aimy,1
35,Alain,8
36,Alaïs,1
37,Alan,2
38,Alanis,1
39,Alaric,1
40,Albain,1
41,Alban,3
42,Albane,1
43,Albanie,1
44,Albanne,1
45,Albéric,1
46,Albert,6
47,Alberte,2
48,Albertine,3
49,Albine,1
50,Aldéric,1
51,Aldine,1
52,Aldric,1
53,Alex,3
54,Alexandra,6
55,Alexandre,7
56,Alexandrie,1
57,Alexandrine,2
58,Alexane,1
59,Alexanne,1
60,Alexia,3
61,Alexiane,1
62,Alexie,1
63,Alexine,1
64,Alexis,5
65,Alexy,1
66,Aleyna,1
67,Alfred,4
68,Alfredine,1
69,Alice,6
70,Alicia,3
71,Alienor,1
72,Aliette,1
73,Aline,6
74,Alisé,1
75,Alisée,1
76,Alison,2
77,Alisone,1
78,Alisson,1
79,Alissone,1
80,Alix,3
81,Alixe,1
82,Alixia,1
83,Alizé,1
84,Alizéa,1
85,Alizée,1
86,Allain,1
87,Allan,2
88,Alliette,1
89,Alodie,1
90,Aloïs,1
91,Aloïse,1
92,Aloyse,1
93,Alphonse,3
94,Alphonsine,2
95,Alric,1
96,Alrick,1
97,Alvine,1
98,Alyette,1
99,Alysée,1
100,Alyzée,1
101,Amable,1
102,Amaël,1
103,Amaelle,1
104,Amalric,1
105,Amance,1
106,Amand,1
107,Amande,1
108,Amandine,5
109,Amarande,1
110,Amaury,2
111,Ambre,2
112,Ambrine,1
113,Ambroise,1
114,Ambroisine,1
115,Amédé,1
116,Amédée,1
117,Amélia,1
118,Amélie,5
119,Amélien,1
120,Amélina,1
121,Ameline,1
122,Amélyne,1
123,Amour,1
124,Anabel,1
125,Anabelle,1
126,Anaclet,1
127,Anaël,1
128,Anaële,1
129,Anaelle,2
130,Anaïs,5
131,Anastase,1
132,Anastasie,1
133,Anasthasie,1
134,Anatole,1
135,Anatolie,1
136,Ancelin,1
137,Andoche,1
138,André,8
139,Andréa,4
140,Andréane,1
141,Andréanne,1
142,Andréas,1
143,Andrée,7
144,Ange,4
145,Angel,2
146,Angela,2
147,Angèle,5
148,Angelin,1
149,Angelina,3
150,Angéline,2
151,Angélique,6
152,Angelle,1
153,Anicet,1
154,Anicette,1
155,Anita,4
156,Anna,5
157,Annabel,1
158,Annabelle,3
159,Annaëlle,1
160,Annaïg,1
161,Anne,8
162,Annelyse,1
163,Anne-Marie,6
164,Annette,4
165,Annick,7
166,Annie,7
167,Annonciade,1
168,Anouk,1
169,Anselme,1
170,Anthelme,1
171,Anthime,1
172,Anthony,6
173,Antoine,6
174,Antoinette,5
175,Antonie,1
176,Antonin,3
177,Antonine,1
178,Antonio,3
179,Aodren,1
180,Apollinaire,1
181,Apolline,1
182,Apollonie,1
183,Appolinaire,1
184,Appoline,1
185,Appolonie,1
186,Arabelle,1
187,Arcade,1
188,Archange,1
189,Argan,1
190,Argentine,1
191,Ariane,2
192,Arianne,1
193,Arié,1
194,Ariel,1
195,Arièle,1
196,Arielle,1
197,Ariette,1
198,Ariste,1
199,Aristide,1
200,Arlette,6
201,Armance,1
202,Armand,4
203,Armande,2
204,Armandine,1
205,Armantine,1
206,Armel,2
207,Armele,1
208,Armelle,4
209,Arnaud,6
210,Arnauld,1
211,Arnault,1
212,Arnould,1
213,Arsène,2
214,Arthémise,1
215,Arthur,4
216,Astride,1
217,Athanase,1
218,Athmane,1
219,Atman,1
220,Atmane,1
221,Aubane,1
222,Aubert,1
223,Aubin,1
224,Aubry,1
225,Aude,4
226,Audeline,1
227,Audette,1
228,Audran,1
229,Audren,1
230,Audrey,6
231,Audric,1
232,Augusta,2
233,Auguste,4
234,Augustin,3
235,Augustine,3
236,Aurane,1
237,Aure,1
238,Aurèle,1
239,Aurélia,3
240,Auréliane,1
241,Aurélie,7
242,Aurélien,5
243,Aurélienne,1
244,Aurelle,1
245,Auriane,1
246,Aurianne,1
247,Aurore,5
248,Auxane,1
249,Auxence,1
250,Avit,1
251,Avril,1
252,Axel,4
253,Axèle,1
254,Axelle,3
255,Aymeric,3
256,Aymerick,1
257,Azélie,1
258,Azeline,1
259,Babette,1
260,Balbine,1
261,Baptiste,5
262,Baptistin,1
263,Baptistine,1
264,Barbara,4
265,Barbe,1
266,Barberine,1
267,Barnabé,1
268,Barthélémy,1
269,Bartholomé,1
270,Bartolomé,1
271,Basile,1
272,Bastien,4
273,Bastienne,1
274,Bathilde,1
275,Batiste,1
276,Baudoin,1
277,Baudouin,1
278,Bazile,1
279,Béatrice,7
280,Béatrix,1
281,Bénédicte,5
282,Benjamin,6
283,Benjamine,1
284,Benoist,1
285,Benoît,6
286,Benoîte,1
287,Béranger,1
288,Bérangère,2
289,Bérenger,1
290,Bérengère,2
291,Bérénice,2
292,Bernadette,7
293,Bernadine,1
294,Bernard,8
295,Bernardette,1
296,Bernardin,1
297,Bernardine,1
298,Berthe,4
299,Berthilde,1
300,Berthile,1
301,Berthille,1
302,Bertile,1
303,Bertille,1
304,Bertin,1
305,Bertrand,5
306,Bertrande,1
307,Betty,3
308,Bienaimé,1
309,Bixente,1
310,Blaise,1
311,Blanche,3
312,Blanchette,1
313,Blandine,4
314,Bleuette,1
315,Bluette,1
316,Bonaventure,1
317,Boniface,1
318,Boris,3
319,Briac,1
320,Briag,1
321,Brice,4
322,Brieg,1
323,Brieuc,1
324,Brieux,1
325,Brigitte,7
326,Brune,1
327,Bruneau,1
328,Brunehilde,1
329,Brunette,1
330,Bruno,7
